Year,Total
"1945",366201
"1946",412650
"1947",506412
"1948",515877
"1949",436459
"1950",386443
"1951",440088
"1952",437299
"1953",458054
"1954",479671
"1955",517543
"1956",547996
"1957",516852
"1958",604937
"1959",654845
"1960",610057
"1961",716137
"1962",832084
"1963",781969
"1964",973664
"1965",1198304
"1966",1240293
"1967",896644
"1968",599292
"1969",685854
"1970",730744
"1971",680796
"1972",722640
"1973",902250
"1974",941379
"1975",988571
"1976",978740
"1977",1368797
"1978",1562068
"1979",1640688
"1980",1508071
"1981",1434595
"1982",785603
"1983",834975
"1984",1525118
"1985",1672279
"1986",1650888
"1987",1624803
"1988",1752256
"1989",1488845
"1990",1502292
"1991",1044324
"1992",1558743
"1993",1712252
"1994",1550696
"1995",1605127
"1996",2055244
"1997",2199111
"1998",1678565
"1999",1732694
"2000",1980163
"2001",1986584
"2002",2133327
"2003",1979545
"2004",1727785
"2005",1668927
"2006",1322914
"2007",1395716
"2008",1283078
"2009",1129621
"2010",1063467
"2011",1148867
"2012",1448548
